Ratio H/L normalized pd2_forward	Ratio H/L normalized pd2_reverse	Ratio H/L normalized pd4_forward	Ratio H/L normalized pd4_reverse	Only identified by site	Reverse	Contaminant	Ratio H/L normalized pd2_forward B significant	Ratio H/L normalized pd2_reverse B significant	Ratio H/L normalized pd4_forward B significant	Ratio H/L normalized pd4_reverse B significant	Peptides	Unique peptides	Intensity pd2_forward	Intensity pd2_reverse	Intensity pd4_forward	Intensity pd4_reverse	Ratio H/L normalized pd2_forward Significance B	Ratio H/L normalized pd2_reverse Significance B	Ratio H/L normalized pd4_forward Significance B	Ratio H/L normalized pd4_reverse Significance B	Protein IDs	Majority protein IDs	Protein names	Gene names	Proteins	Color
2.177439	-3.779304	3.068654	-4.203223								50	30	108650000	144720000	274190000	539960000	0.869818342225006	0.001545024074852	0.433080258471501	0.00483610813004	E9QAS5;Q6PDQ2;E9QAS4;F6WR45;F6V4V3	E9QAS5;Q6PDQ2;E9QAS4	Chromodomain-helicase-DNA-binding protein 4	Chd4	5	nurd
2.481092	0.8787645	2.816006	-0.03442627								34	34	57384000	35334000	288960000	155630000	0.701234879679014	0.907550335107992	0.567232549625867	0.455121354032859	E9QK83;Q5XG71	E9QK83;Q5XG71	Small subunit processome component 20 homolog	Utp20	2	
NaN	NaN	NaN	NaN								2	2	9483000	0	1096500	0	1	1	1	1	E9QK89;Q5PSV9	E9QK89;Q5PSV9	Mediator of DNA damage checkpoint protein 1	Mdc1	2	
3.747817	3.439357	3.451277	3.807046								16	16	40706000	29379000	48594000	35624000	0.193453657590542	0.275787386578039	0.269293002522051	0.245158682549139	E9QKD1;Q3UHX0;Q3UHX0-2	E9QKD1;Q3UHX0	Nucleolar protein 8	Nol8	3	
3.338424	2.901205	2.661271	1.479644								6	6	14605000	8348800	19507000	30124000	0.315312444952637	0.376053475681561	0.658189071318149	0.99584017399001	E9QKQ3;Q9Z2Q2;Q9Z2Q2-2;F6ZLH4;Q9Z2Q2-3;D3Z5V3	E9QKQ3;Q9Z2Q2;Q9Z2Q2-2;F6ZLH4;Q9Z2Q2-3	Protein C16orf88 homolog	2310008H09Rik;Tsg118	6	
NaN	NaN	3.873223	NaN								4	3	776430	14716000	25721000	23486000	1	1	0.144725570949856	1	O35326;Q9D8S5;Q640L9;E9QKW3	O35326;Q9D8S5;Q640L9;E9QKW3	Serine/arginine-rich splicing factor 5	Srsf5	4	
2.249779	-0.5531721	2.144895	1.637517								9	9	22669000	8986500	9243600	9772900	0.828797520004722	0.412536622829361	0.992398951385334	0.933299786069622	F8WGM9;Q61464;E9QML5;Q61464-4;E9QKZ7;Q61464-5;Q61464-2;E9QKZ8;Q61464-7;E9Q1G5;Q61464-3	F8WGM9;Q61464;E9QML5;Q61464-4;E9QKZ7;Q61464-5;Q61464-2;E9QKZ8;Q61464-7;E9Q1G5	Zinc finger protein 638	Zfml;Znf638	11	
NaN	NaN	NaN	NaN								3	3	0	3911500	0	9162700	1	1	1	1	Q80U78;Q80U78-3;Q80U78-2;E9QL01;Q3TTW5;E9Q6M7;Q80U58;Q3UR91;Q80U58-2;Q3TQ29;Q80U58-3;F6YD01;Q80U78-4	Q80U78;Q80U78-3;Q80U78-2;E9QL01;Q3TTW5;E9Q6M7	Pumilio homolog 1	Pum1	13	
NaN	0.8150835	NaN	NaN								2	2	1211900	727070	1238600	0	1	0.926766896744274	1	1	E9QL43;Q8CIC2;Q8CIC2-2	E9QL43;Q8CIC2;Q8CIC2-2	Nucleoporin-like protein 2	Nupl2	3	
NaN	NaN	NaN	NaN								1	1	0	0	0	1891500	1	1	1	1	P56183;F8WI83;P56183-3;E9QL52;P56183-2;Q05CN2	P56183;F8WI83;P56183-3;E9QL52;P56183-2;Q05CN2	Ribosomal RNA processing protein 1 homolog A	Rrp1	6	
3.241154	3.712926	2.714399	3.53568								29	29	74590000	59985000	158320000	176520000	0.35043862811072	0.232532729817734	0.626291335553421	0.304283807503113	E9QLA0;Q8CAQ8-5;Q8CAQ8;Q8CAQ8-2;E9QAY3;E9Q800;Q8CAQ8-3;E9QAY6;Q3TZK4;E9PVS5;Q8CAQ8-4;E9Q0J9	E9QLA0;Q8CAQ8-5;Q8CAQ8;Q8CAQ8-2;E9QAY3;E9Q800;Q8CAQ8-3;E9QAY6	Mitochondrial inner membrane protein	Immt	12	
NaN	NaN	NaN	NaN								2	2	505380	0	1753200	0	1	1	1	1	Q8K284;E9QLY6;Q8K284-2	Q8K284;E9QLY6;Q8K284-2	General transcription factor 3C polypeptide 1	Gtf3c1	3	
-0.05999115	0.110096	NaN	NaN								3	3	878710	270570	344400	0	0.273858894144213	0.736129086110465	1	1	E9QMJ2;Q75NR7-2;Q75NR7	E9QMJ2;Q75NR7-2;Q75NR7	ATP-dependent DNA helicase Q4	Recql4	3	
2.492033	-3.608584	2.699885	-3.226071								20	19	27387000	41085000	80924000	194990000	0.695374513778453	0.002350808829797	0.634939877588072	0.019682142825363	E9QMN5;Q8CHY6	E9QMN5;Q8CHY6	Transcriptional repressor p66 alpha	Gatad2a	2	nurd
NaN	NaN	NaN	NaN								1	1	0	0	1274600	0	1	1	1	1	Q99KW3-2;Q99KW3;Q99KW3-4;E9QMQ3;Q99KW3-1	Q99KW3-2;Q99KW3;Q99KW3-4;E9QMQ3;Q99KW3-1	TRIO and F-actin-binding protein	Triobp	5	
NaN	1.144307	0.0160683	0.361656								4	4	2294700	1664800	3467500	3945000	1	0.828126095662605	0.213768017559728	0.582216140436448	E9QMW1;O35980	E9QMW1;O35980	Endonuclease III-like protein 1	Nthl1	2	
-0.5247076	NaN	NaN	NaN								2	2	5675800	0	0	0	0.177954023765549	1	1	1	P54099;E9QN13;Q75WC0;D6RIP1	P54099;E9QN13;Q75WC0;D6RIP1	DNA polymerase subunit gamma-1	Polg	4	
3.53082	3.784399	1.316146	3.093848								29	29	769210000	447790000	885390000	1121300000	0.252880431039025	0.222071329811486	0.631278138005679	0.419291628855581	E9QN31;Q922K7	E9QN31;Q922K7	Putative ribosomal RNA methyltransferase NOP2	Nop2	2	
2.544832	3.505383	2.305591	3.302553								5	2	15272000	24254000	29797000	38250000	0.667352375718447	0.264876684893414	0.885309676648299	0.362084416641331	E9QN52;Q91WK0;Q91WK0-2	E9QN52;Q91WK0;Q91WK0-2	Leucine-rich repeat flightless-interacting protein 2	Lrrfip2	3	
2.972729	-1.29612	2.922293	2.480291								48	48	1201000000	501530000	164720000	176410000	0.459621528652536	0.173877430375799	0.508461848795031	0.615213601494123	E9QNN1;O70133-2;O70133;O70133-3	E9QNN1;O70133-2;O70133;O70133-3	ATP-dependent RNA helicase A	Dhx9	4	
NaN	NaN	NaN	NaN								2	2	0	477320	0	2204600	1	1	1	1	E9QNX1;Q4JK59;Q4JK59-2;Q4JK59-3	E9QNX1;Q4JK59;Q4JK59-2;Q4JK59-3	Methylcytosine dioxygenase TET2	Tet2	4	
2.786283	-0.3937473	NaN	NaN								5	3	9052800	5856700	0	2760000	0.545490125418646	0.481760401403488	1	1	E9QP00;Q6PFR5;Q3TAP5	E9QP00;Q6PFR5;Q3TAP5	Transformer-2 protein homolog alpha	Tra2a	3	
NaN	NaN	NaN	NaN								1	1	1073800	0	1069100	0	1	1	1	1	E9QPA6;P80317	E9QPA6;P80317	T-complex protein 1 subunit zeta	Cct6a	2	
-0.1773759	0.1767058	0.05533457	0.1856129								45	45	380560000	177350000	468580000	683010000	0.246827035719312	0.772939090601358	0.22238312710732	0.523734165681693	E9QPD7;G5E8R3;Q05920;E9PW11	E9QPD7;G5E8R3;Q05920;E9PW11	Pyruvate carboxylase;Pyruvate carboxylase, mitochondrial	Pcx;Pc	4	
NaN	NaN	3.546586	4.964768								19	3	26806000	15303000	29006000	57746000	1	1	0.236179073326784	0.082262768768694	Q69ZX3;E9QPE7;O08638;O08638-2	Q69ZX3;E9QPE7;O08638;O08638-2	Myosin-11	Myh11	4	
NaN	NaN	NaN	NaN								1	1	0	91676	0	227560	1	1	1	1	E9QPN7;Q8VDR9	E9QPN7;Q8VDR9	Dedicator of cytokinesis protein 6	Dock6	2	
-0.7217535	0.468114	-0.7030786	0.8769589								19	19	89199000	28813000	30163000	29998000	0.145863599709181	0.9389692941178	0.095809258926092	0.76862494384157	E9QPY6;P13705;E9Q8A8;Q3TTD3;Q8C9T6	E9QPY6;P13705	DNA mismatch repair protein Msh3	Msh3	5	
NaN	NaN	NaN	NaN								1	1	5517300	1592000	5606800	6627800	1	1	1	1	Q8R1J3;E9QQ14;Q8BRH8	Q8R1J3;E9QQ14;Q8BRH8	Zinc finger CCHC domain-containing protein 9	Zcchc9	3	
NaN	NaN	NaN	NaN								1	1	0	2241000	2435300	2856100	1	1	1	1	Q5DU09;F2Z443;Q5DU09-2	Q5DU09;F2Z443;Q5DU09-2	Zinc finger protein 652	Znf652;Zfp652	3	
NaN	NaN	NaN	NaN								1	1	0	0	421400	343110	1	1	1	1	P11983;F2Z483	P11983;F2Z483	T-complex protein 1 subunit alpha	Tcp1	2	
NaN	NaN	NaN	NaN								1	1	0	164510	586600	526410	1	1	1	1	Q9R1C6;F2Z490	Q9R1C6;F2Z490	Diacylglycerol kinase epsilon	Dgke	2	
NaN	NaN	2.841309	NaN								3	3	2129500	3162700	14746000	10939000	1	1	0.552950891359367	1	O35207;F2Z4B3;Q9CPY4;G3UYI1	O35207;F2Z4B3;Q9CPY4	Cyclin-dependent kinase 2-associated protein 1;Cyclin-dependent kinase 2-associated protein 2	Cdk2ap1;Cdk2ap2	4	
3.000288	2.886765	0.3439194	3.341132								10	10	173610000	116760000	161460000	242660000	0.447603923669713	0.379021721590322	0.293362999179336	0.352071719892376	F5H8M6;P62270;G3UZW2;D3YWV7;F6YVP7	F5H8M6;P62270;G3UZW2;D3YWV7	40S ribosomal protein S18	Gm10260;Rps18;Gm5321	5	
NaN	NaN	NaN	NaN								1	1	0	0	0	917690	1	1	1	1	Q6ZQG1;F6PXL5	Q6ZQG1;F6PXL5		Nup205	2	
NaN	NaN	1.931456	NaN								5	4	1641200	892080	3577500	2904900	1	1	0.905553967606034	1	Q6P5B5;F6QH50;Q9WVR4	Q6P5B5;F6QH50;Q9WVR4	Fragile X mental retardation syndrome-related protein 2	Fxr2	3	
4.746044	3.917241	4.880832	4.344047								6	6	283320000	237270000	542680000	201560000	0.043085093113155	0.203531723309468	0.021272327883533	0.152964558119994	P47915;F6QL70;G3UWG9;D3YU65;D3Z1N9;D3YTZ1;F6YH22;F6VZG1;F6WZ54	P47915;F6QL70;G3UWG9;D3YU65;D3Z1N9;D3YTZ1;F6YH22;F6VZG1;F6WZ54	60S ribosomal protein L29	Rpl29;Gm17669;Gm5561;Gm3550;Gm10709;Rpl29-ps2;Gm5218;Gm4889;Rpl29-ps5	9	
2.206143	-0.8111687	1.839476	1.856786								10	6	42327000	42664000	22757000	42015000	0.853493240827875	0.313885854288701	0.862922892075096	0.847197953028537	F6QN44;F6T246;G3UY53	F6QN44;F6T246		Zfp936	3	
3.898208	3.724105	3.985591	4.101062								8	8	22293000	6278000	14820000	13941000	0.158754237485008	0.230873848926327	0.120514393653026	0.190755457677868	Q5SWZ5;P97434-2;P97434-5;P97434;F6RND9;P97434-3;F6S5I0;P97434-4;E9PZ80;F6XZM9	Q5SWZ5;P97434-2;P97434-5;P97434;F6RND9;P97434-3;F6S5I0;P97434-4;E9PZ80	Myosin phosphatase Rho-interacting protein	Mprip	10	
NaN	NaN	NaN	NaN								3	1	0	0	1614700	0	1	1	1	1	F6S6M1	F6S6M1		Gm17386	1	
NaN	NaN	NaN	NaN								4	1	0	3799100	9301600	10352000	1	1	1	1	F6SL65	F6SL65		Lrrfip2	1	
NaN	NaN	0.5446832	NaN								2	2	0	0	3357400	2050100	1	1	0.350874716089267	1	Q8C7Q4;Q8VE92;Q8C7Q4-2;F6TBN8;Q5CZX8	Q8C7Q4;Q8VE92;Q8C7Q4-2;F6TBN8;Q5CZX8	RNA-binding protein 4;RNA-binding protein 4B	Rbm4;Rbm4b	5	
0.1521185	-0.6305503	NaN	NaN								2	2	2910100	933630	0	655110	0.327676028746808	0.381181223340733	1	1	F6TCF9;Q60739;Q60739-2	F6TCF9;Q60739;Q60739-2	BAG family molecular chaperone regulator 1	Bag1	3	
NaN	NaN	NaN	NaN								8	1	0	0	0	1451100	1	1	1	1	F6TFN2;B7ZN52;E9PYP5	F6TFN2;B7ZN52;E9PYP5		Lmo7	3	
0.8821343	-0.1546505	1.708364	-1.043557								24	24	892980000	419430000	487790000	530670000	0.560844134501164	0.596418734078046	0.80286790426619	0.211961692363125	F6TJE4;Q921E6-2;Q921E6;Q921E6-3	F6TJE4;Q921E6-2;Q921E6;Q921E6-3	Polycomb protein EED	Eed	4	
4.536115	4.172647	4.396913	4.846744								19	16	712970000	411320000	707210000	537980000	0.061351914114581	0.171100647952857	0.057770266488212	0.093145431165379	F6TJZ4;P12970;D3YVE6;D3YXT4;D3Z3R0;D3YU93;F6YI27;F6U2H0;F6TIC7;F6VBB8;F6ZVW4;F7AMA9	F6TJZ4;P12970;D3YVE6;D3YXT4;D3Z3R0;D3YU93;F6YI27;F6U2H0;F6TIC7	60S ribosomal protein L7a	Rpl7a;Rpl7a-ps10;Gm5619;Gm16477;Rpl7a-ps3;Gm17415;Rpl7a-ps5;Rpl7a-ps8	12	
NaN	NaN	NaN	NaN								1	1	0	0	578290	182040	1	1	1	1	P17426;P17426-2;F6TPX8	P17426;P17426-2;F6TPX8	AP-2 complex subunit alpha-1	Ap2a1	3	
NaN	NaN	NaN	NaN								1	1	708920	180400	595100	582240	1	1	1	1	F6TVX7;Q8BSF4;F7C386	F6TVX7;Q8BSF4;F7C386	Phosphatidylserine decarboxylase proenzyme;Phosphatidylserine decarboxylase alpha chain;Phosphatidylserine decarboxylase beta chain	C330019G07Rik;Pisd	3	
3.387501	-1.426083	2.506907	2.690752								16	16	828300000	465100000	160480000	140320000	0.298499995167161	0.145839998344134	0.754274434981669	0.543673102354383	O88569;F6U106;O88569-2;O88569-3	O88569;F6U106;O88569-2;O88569-3	Heterogeneous nuclear ribonucleoproteins A2/B1	Hnrnpa2b1	4	
NaN	NaN	NaN	NaN								1	1	832770	250270	645600	373510	1	1	1	1	Q8CIG3;Q8CIG3-2;F6V3V2;Q8CIG3-3	Q8CIG3;Q8CIG3-2;F6V3V2;Q8CIG3-3	Lysine-specific histone demethylase 1B	Kdm1b	4	
NaN	NaN	NaN	NaN								4	4	0	4082200	6639700	2994000	1	1	1	1	Q8VHZ7;F6VY64;D6RCI8	Q8VHZ7;F6VY64	U3 small nucleolar ribonucleoprotein protein IMP4	Imp4	3	
4.912889	3.584842	4.300416	3.467279								8	8	35706000	26329000	79831000	64352000	0.03206204205403	0.252145241772885	0.069287240199462	0.32056976206082	F6WIU1;Q8VDQ9	F6WIU1;Q8VDQ9	Protein KRI1 homolog	Kri1	2	
2.348091	-1.668455	3.257765	2.551418								6	3	45062000	12281000	4150400	7437000	0.773809232292167	0.102957272899224	0.345953519340528	0.590574820781529	Q80YR5;F6X6Q7;F6TC77;E9PZM6;D6RHP9;D6RJ78	Q80YR5;F6X6Q7;F6TC77;E9PZM6	Scaffold attachment factor B2	Safb2;Safb	6	
NaN	NaN	NaN	NaN								1	1	3084500	1044900	2926600	3360600	1	1	1	1	Q8K3F7;F6X7T7;F6Y7H0;F7AJL7	Q8K3F7;F6X7T7;F6Y7H0;F7AJL7	L-threonine 3-dehydrogenase, mitochondrial	Tdh	4	
NaN	NaN	NaN	NaN								5	1	19044000	5033600	0	11173000	1	1	1	1	F6XEK3;Q811W0;A2AM37;P53783;P53784;F8WJ11;Q04892;F7ATC4;Q05738;Q2T9H0	F6XEK3;Q811W0;A2AM37;P53783;P53784	Transcription factor SOX-21;Transcription factor SOX-1;Transcription factor SOX-3	Sox21;Sox3;Sox1	10	
-0.5805258	0.351176	-0.3854315	0.9216648								8	7	131890000	125300000	100440000	60867000	0.168372147726237	0.87160127385964	0.139137097280132	0.78564789257983	F6XLC7;Q99K48;Q99K48-2;B1AXT0	F6XLC7;Q99K48;Q99K48-2	Non-POU domain-containing octamer-binding protein	Nono	4	
NaN	0.2130051	NaN	NaN								2	2	4888200	3353500	2578300	3624000	1	0.79322210209889	1	1	Q6SJ95;P29037;Q91YM5;F8WJ67;F6XYI9	Q6SJ95;P29037;Q91YM5;F8WJ67;F6XYI9	TATA box-binding protein-like protein 2;TATA-box-binding protein	Tbpl2;Tbp	5	
NaN	NaN	-4.380431	1.061223								2	2	0	0	42609000	90565000	1	1	0.000130941166023	0.839415791842528	F6XZB0	F6XZB0		Nrf1	1	
NaN	NaN	NaN	NaN								1	1	896290	0	0	0	1	1	1	1	Q9WTN3;Q9WTN3-3;Q9WTN3-2;F6XZS9;Q9WTN3-4	Q9WTN3;Q9WTN3-3;Q9WTN3-2;F6XZS9;Q9WTN3-4	Sterol regulatory element-binding protein 1;Processed sterol regulatory element-binding protein 1	Srebf1	5	
-0.4153645	0.5890923	0.8644933	-0.1810513								8	6	28794000	6665500	5977600	33181000	0.197890293361543	0.995231151462783	0.456200971370895	0.412364226028985	F6YRW4;G3X9Y0;P59997;E9PWL8;P59997-2;P59997-3	F6YRW4;G3X9Y0;P59997	Lysine-specific demethylase 2A	Kdm2a	6	
NaN	NaN	-3.347164	NaN								6	6	0	0	28022000	773180	1	1	0.001290890023282	1	F6ZBR8;E9QLK4;O88286;E9QNI7;O88286-3;D3Z195;O88286-2;G5E8J8	F6ZBR8;E9QLK4;O88286;E9QNI7;O88286-3;D3Z195;O88286-2;G5E8J8	Protein Wiz	Wiz	8	
NaN	NaN	NaN	NaN								1	1	0	0	0	765140	1	1	1	1	F6ZJB0;G3UW45;Q9JKF1	F6ZJB0;G3UW45;Q9JKF1	Ras GTPase-activating-like protein IQGAP1	Iqgap1	3	
0.6113612	0.3067288	0.1037997	0.09922788								11	11	25539000	11823000	23121000	45174000	0.46604957330916	0.84621094126424	0.233355656088654	0.496180572089307	F6ZSC6;Q9QXX4;Q8BH59	F6ZSC6;Q9QXX4	Calcium-binding mitochondrial carrier protein Aralar2	Slc25a13	3	
NaN	NaN	NaN	NaN								3	1	8671100	3118200	0	2606200	1	1	1	1	F6ZZH7;E9Q981	F6ZZH7		EU599041	2	
NaN	NaN	NaN	NaN								4	1	0	331250	1541400	1206000	1	1	1	1	P19246;F7A3A1	P19246;F7A3A1	Neurofilament heavy polypeptide	Nefh	2	
NaN	NaN	1.484602	-1.699044								7	2	0	0	4098000	2447600	1	1	0.70318899544415	0.11553308297207	P57722;P57722-2;F7A4C5;G5E916;E9Q7D8;G3UYM5	P57722;P57722-2;F7A4C5;G5E916;E9Q7D8	Poly(rC)-binding protein 3	Pcbp3	6	
NaN	NaN	NaN	NaN								2	2	0	871950	4756900	5780900	1	1	1	1	Q9Z104;F7AVN4;E9Q2W1	Q9Z104;F7AVN4;E9Q2W1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-related	Hmg20b	3	
4.38066	3.327112	4.137586	4.202418								4	4	57933000	29281000	68677000	66088000	0.078672319791185	0.295030938252561	0.092949954630833	0.174231321150945	F7BBI3;P63276;D3Z173	F7BBI3;P63276;D3Z173	40S ribosomal protein S17	Rps17;Gm5215	3	
NaN	NaN	NaN	NaN								1	1	0	0	3616000	0	1	1	1	1	F7BDZ6	F7BDZ6		Zbtb44	1	
NaN	NaN	NaN	NaN								1	1	691090	0	0	0	1	1	1	1	Q9JL70;F7CK17	Q9JL70;F7CK17	Fanconi anemia group A protein homolog	Fanca	2	
NaN	-0.2381701	NaN	NaN								2	2	2466900	16596000	6134500	4476500	1	0.554983611329329	1	1	D3Z4J0;Q9DB20;F7D3P8	D3Z4J0;Q9DB20;F7D3P8	ATP synthase subunit O, mitochondrial	Gm5436;Atp5o	3	
2.684662	-1.612196	2.357636	1.66216								15	15	116300000	40086000	5248300	6533100	0.595429311535663	0.111888764509972	0.850976808778671	0.923565084886893	F8VPM4;Q00PI9	F8VPM4;Q00PI9	Heterogeneous nuclear ribonucleoprotein U-like protein 2	Hnrnpul2	2	
NaN	NaN	2.379593	1.837217								3	3	1344600	663160	4040900	2566600	1	1	0.836573025253098	0.854824330370431	F8VPV0;P48725;P48725-3;P48725-2;Q3TQR8	F8VPV0;P48725;P48725-3;P48725-2	Pericentrin	Pcnt	5	
-0.8253379	NaN	NaN	NaN								2	2	14700000	3345500	6435700	6430700	0.130874873397707	1	1	1	Q62520;F8VPV3;Q7TQ40;Q62521;A2AWK3;P46684;D3YXF6;A2AWK6;G3UYA5	Q62520;F8VPV3;Q7TQ40;Q62521;A2AWK3;P46684;D3YXF6;A2AWK6;G3UYA5	Zinc finger protein ZIC 2;Zinc finger protein ZIC 5;Zinc finger protein ZIC 3;Zinc finger protein ZIC 1	Zic2;Zic5;Zic3;Zic1	9	
-0.7034075	NaN	NaN	-0.4399503								5	5	7838300	628360	1199800	8430200	0.148650130306295	1	1	0.342952246157644	F8VPY2;Q8C092	F8VPY2;Q8C092	Transcription initiation factor TFIID subunit 5	Taf5	2	
NaN	NaN	NaN	1.031536								3	3	0	0	0	3904800	1	1	1	0.827906201086124	F8VQ87;P97789;P97789-2;P97789-3	F8VQ87;P97789;P97789-2;P97789-3	5-3 exoribonuclease 1	Xrn1	4	
1.489543	NaN	0.6156988	NaN								3	3	4368100	0	4027500	1378800	0.801749262173308	1	0.372823456271704	1	Q99KG3;Q99KG3-3;F8WGU1;Q99KG3-2	Q99KG3;Q99KG3-3;F8WGU1;Q99KG3-2	RNA-binding protein 10	Rbm10	4	
0.3068455	-0.07377279	0.53067	0.3438057								38	38	877810000	357650000	332640000	300390000	0.370992765314851	0.637834985693184	0.346642452116883	0.576149664015139	F8WGW3;Q497V5;Q497V5-2;Q8CHZ0;B7ZWI4;B7ZWI7	F8WGW3;Q497V5;Q497V5-2	S1 RNA-binding domain-containing protein 1	Srbd1	6	
NaN	NaN	2.371698	NaN								3	3	803480	419070	2694000	659630	1	1	0.841746171186503	1	Q80TE4;F8WGX7;Q80TE4-2	Q80TE4;F8WGX7;Q80TE4-2	Signal-induced proliferation-associated 1-like protein 2	Sipa1l2	3	
2.967759	0.5733746	0.6774406	-0.1307445								7	6	146280000	78654000	86095000	51123000	0.461808094842095	1	0.392581446377268	0.426758763474479	Q8BL97;F8WH59;Q8BL97-2;Q8BL97-4;Q8BL97-3	Q8BL97;F8WH59;Q8BL97-2;Q8BL97-4;Q8BL97-3	Serine/arginine-rich splicing factor 7	Srsf7	5	
NaN	1.102793	NaN	0.872947								2	2	711940	777720	0	1935800	1	0.840449254750868	1	0.767102603642871	P56135;F8WHP8	P56135;F8WHP8	ATP synthase subunit f, mitochondrial	Atp5j2	2	
NaN	-0.687149	0.5485353	0.168257								4	4	1043500	1900400	8353000	13784000	1	0.359199622042475	0.352043858629789	0.518135952372965	Q569Z5;F8WHR6;Q569Z5-2	Q569Z5;F8WHR6;Q569Z5-2	Probable ATP-dependent RNA helicase DDX46	Ddx46	3	
3.439623	0.7165959	3.869871	3.077414								10	10	118360000	101980000	87491000	89780000	0.281311192303651	0.956567074988749	0.145501054554859	0.424011237324727	Q8K019;Q8K019-2;F8WI22;Q8K019-3;E9Q5V0	Q8K019;Q8K019-2;F8WI22;Q8K019-3	Bcl-2-associated transcription factor 1	Bclaf1	5	
NaN	0.5649147	1.868292	0.3687125								4	4	2594300	4865700	11299000	14584000	1	0.995090156398262	0.876241611927821	0.584622509044254	F8WI94;O55143;O55143-2;Q8R429	F8WI94;O55143;O55143-2;Q8R429	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2;Sarcoplasmic/endoplasmic reticulum calcium ATPase 1	Atp2a2;Atp2a1	4	
3.250507	3.500547	2.451198	3.762136								14	14	76626000	54860000	135730000	156340000	0.346957015802473	0.265665524077795	0.790003116767829	0.254342929336533	F8WIL7;Q8K4L0	F8WIL7;Q8K4L0	ATP-dependent RNA helicase DDX54	Ddx54	2	
NaN	NaN	NaN	NaN								4	1	5467900	1913600	0	2848400	1	1	1	1	Q6GSS7;Q64523;F8WIX8	Q6GSS7;Q64523;F8WIX8	Histone H2A type 2-A;Histone H2A type 2-C;Histone H2A	Hist2h2aa1;Hist2h2ac;Hist1h2al	3	
NaN	NaN	NaN	NaN								1	1	1693100	0	618020	1249200	1	1	1	1	Q5RJ54;F8WJ31;Q5RJ54-2	Q5RJ54;F8WJ31;Q5RJ54-2	Zinc finger protein 187	Znf187;Zfp187	3	
0.1050075	-0.9395099	1.767146	-2.76366								91	85	2538000000	1225400000	1502000000	1711600000	0.315166706450681	0.271133578526192	0.829671345250666	0.035496340399715	F8WJ40;O08550;E9Q6J1;F6W623	F8WJ40;O08550;E9Q6J1;F6W623	Histone-lysine N-methyltransferase MLL4	Wbp7	4	
-0.2358746	0.3754009	NaN	NaN								2	2	2792900	1253800	0	1892600	0.234077403993532	0.885497382659209	1	1	F8WJ61;Q60520-1;Q60520	F8WJ61;Q60520-1;Q60520	Paired amphipathic helix protein Sin3a	Sin3a	3	
2.280719	2.151437	1.958843	2.415569								9	9	26127000	11944000	22787000	14112000	0.811387579200609	0.548452189759063	0.91830561127347	0.638018099797487	F8WJA0;Q9ESV0	F8WJA0;Q9ESV0	ATP-dependent RNA helicase DDX24	Ddx24	2	
3.513617	2.768248	2.998304	3.823342								4	4	7460600	2066900	7750900	4667500	0.25808427160051	0.403924682246721	0.46847897850271	0.241884273117627	G3UVT6;Q810D6;Q8BIF7;Q8K335;D6REU5	G3UVT6;Q810D6;Q8BIF7;Q8K335	Glutamate-rich WD repeat-containing protein 1	Grwd1	5	
2.419916	NaN	NaN	NaN								4	3	9558900	2544600	0	0	0.734324371222406	1	1	1	G3UW50;Q6NV93	G3UW50;Q6NV93		Zbtb25	2	
-0.9407831	0.4577518	0.1129003	-0.09946353								33	33	544180000	218060000	462580000	508360000	0.115608389594671	0.932974758150198	0.235458121958291	0.435855136224953	G3UXL4;Q5U4B1;G3X8Z6;P35601;G3UWX1;P35601-2;E9PX26	G3UXL4;Q5U4B1;G3X8Z6;P35601;G3UWX1;P35601-2	Replication factor C subunit 1	Rfc1	7	
1.23008	1.770068	2.989084	3.324955								8	8	10196000	5035200	25223000	15363000	0.694863666128847	0.649066045071298	0.473233876843574	0.356248798788971	Q5NBX1;G3UWY3;Q5NBX1-3;G5E8P4;Q5NBX1-2;Q5NBX1-4;G3UZ73;Q5NBX1-5;E9Q0E6;F6RR81	Q5NBX1;G3UWY3;Q5NBX1-3;G5E8P4;Q5NBX1-2	Protein cordon-bleu	Cobl	10	
0.4653999	-0.6407487	NaN	NaN								9	9	39001000	7861900	4933800	3744400	0.418893485422907	0.377160558576493	1	1	O88379;G3UWZ0	O88379;G3UWZ0	Bromodomain adjacent to zinc finger domain protein 1A	Baz1a	2	
NaN	NaN	NaN	NaN								1	1	0	295860	0	0	1	1	1	1	Q8BH44;G3UWZ2	Q8BH44;G3UWZ2	Coronin-2B	Coro2b	2	
NaN	0.4716558	NaN	0.6607461								2	2	3240500	2097800	2228000	5757300	1	0.941019005429371	1	0.687994888300918	Q60930;G3UX26;D3YZT5;D3YUN8	Q60930;G3UX26;D3YZT5;D3YUN8	Voltage-dependent anion-selective channel protein 2	Vdac2	4	
1.390558	-0.8941879	NaN	NaN								8	6	19904000	10798000	0	0	0.76040884978913	0.285751047499607	1	1	G3UXA6;G8JL74;Q8BHD7;Q8BHD7-2;G3UZ01;G3UXZ8;F7C521;G3UY95;G3UXZ6	G3UXA6;G8JL74;Q8BHD7;Q8BHD7-2;G3UZ01	Polypyrimidine tract-binding protein 3	Rod1;Ptbp3	9	
